employee_id,manager_id,manager_name,department,manager_experience,leadership_score,communication_score,manager_performance_score,employee_performance,satisfaction_score,attrition,project_success_score,revenue_generated
emp_0001,1.0,amit sharma,sales,11.0,7.07,7.88,7.47,5.8,25.4,yes,6.21,85400.87
emp_0002,3.0,neha jain,sales,11.0,8.21,7.7,7.96,8.03,10.0,no,7.46,88426.79
emp_0003,3.0,neha jain,sales,9.0,8.21,7.7,7.96,7.32,9.32,no,6.52,86885.47
emp_0004,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,7.62,8.21,no,8.49,83466.89
emp_0005,9.0,vikas yadav,it,15.0,8.31,8.03,8.17,8.65,8.01,no,8.03,83088.54
nan,6.0,sneha kapoor,nan,8.0,7.98,8.08,7.79,5.29,8.01,no,8.58,80288.21
emp_0007,12.0,pooja malhotra,finance,13.0,7.58,7.58,7.58,8.13,45.96799999999987,no,9.27,99649.45
emp_0008,4.0,priya verma,hr,60.0,7.5,8.07,7.79,7.32,8.91,no,8.03,90775.2
emp_0009,3.0,neha jain,sales,9.0,8.21,7.7,7.96,7.32,37.8,no,8.34,77684.76
nan,1.0,amit sharma,sales,10.0,7.58,7.88,7.47,8.11,8.01,no,10.0,96887.59
emp_0011,6.0,rohit singh,sales,11.0,6.94,7.83,7.38,7.32,7.54,no,9.12,78509.3
emp_0012,2.0,karan mehta,finance,11.0,7.73,8.45,8.09,9.29,8.61,no,8.03,85400.87
emp_0013,10.0,meera shah,it,12.0,7.54,8.14,7.84,8.05,7.59,no,7.98,89916.21
emp_0014,7.0,rohit singh,sales,11.0,6.94,7.83,7.38,6.96,9.36,no,9.39,85400.87
emp_0015,6.0,karan mehta,finance,11.0,7.73,8.45,8.09,7.36,7.26,no,7.68,79666.5
emp_0016,1.0,nan,sales,10.0,7.58,8.03,7.47,5.06,8.01,no,8.3,71664.56
emp_0017,6.0,sneha kapoor,sales,8.0,7.98,8.03,8.03,6.32,7.8,no,8.65,86294.95
emp_0018,12.0,pooja malhotra,finance,13.0,7.58,7.58,7.79,7.32,9.17,no,21.18,81452.11
emp_0019,8.0,anjali patel,hr,12.0,7.57,7.24,7.79,25.32,6.98,yes,8.03,79197.2
emp_0020,2.0,karan mehta,finance,11.0,7.73,8.45,8.09,9.43,10.0,no,8.03,85400.87
emp_0021,3.0,amit sharma,sales,11.0,7.07,7.88,7.47,5.92,7.16,no,8.03,84254.05
emp_0022,2.0,karan mehta,finance,11.0,7.73,8.45,7.79,8.05,9.43,no,7.55,85400.87
emp_0023,11.0,arjun nair,finance,10.0,7.23,8.08,7.79,6.16,8.23,no,7.28,80131.36
emp_0024,3.0,neha jain,sales,9.0,8.21,7.7,7.96,5.81,8.05,no,8.29,74611.19
emp_0025,3.0,neha jain,sales,9.0,8.21,7.7,7.96,7.28,8.71,no,10.0,79316.36
nan,1.0,amit sharma,sales,40.0,7.07,7.88,7.47,8.32,8.65,no,7.86,91907.16
emp_0027,5.0,sneha kapoor,finance,17.0,7.6,6.65,7.12,7.32,7.73,no,24.76439999999999,83479.11
emp_0028,7.0,rohit singh,sales,11.0,6.94,8.03,7.38,6.29,8.84,no,7.19,85400.87
emp_0029,10.0,meera shah,it,12.0,7.54,8.03,7.84,8.01,8.35,no,6.29,85400.87
emp_0030,8.0,anjali patel,hr,11.0,22.71,8.03,7.41,8.87,8.4,no,7.16,95147.37
emp_0031,5.0,rahul gupta,finance,11.0,7.6,6.65,7.12,8.04,8.01,no,8.01,85400.87
emp_0032,6.0,anjali patel,hr,12.0,22.71,7.24,7.41,8.28,45.96799999999987,no,6.93,89964.22
emp_0033,1.0,amit sharma,sales,10.0,7.07,7.88,7.47,5.81,9.45,no,7.68,85400.87
nan,5.0,rahul gupta,finance,17.0,7.6,6.65,7.12,8.52,7.9,no,7.94,96305.37
emp_0035,6.0,sneha kapoor,sales,8.0,7.98,8.08,8.03,7.11,6.84,yes,9.67,85400.87
emp_0036,9.0,vikas yadav,it,15.0,8.31,8.03,8.17,7.33,8.3,no,8.36,85100.03
emp_0037,8.0,anjali patel,hr,12.0,7.57,7.24,37.05,8.81,8.01,no,6.93,94634.98
emp_0038,4.0,priya verma,hr,17.0,7.5,8.07,7.79,6.73,8.19,no,24.76439999999999,79114.38
emp_0039,10.0,meera shah,it,12.0,7.54,8.14,7.79,8.89,9.04,no,8.03,81163.43
emp_0040,11.0,arjun nair,finance,10.0,7.23,8.08,7.66,8.35,7.47,no,23.94,85056.52
emp_0041,6.0,vikas yadav,it,15.0,8.31,8.03,8.17,7.22,9.21,no,6.99,84416.72
emp_0042,10.0,meera shah,it,12.0,7.54,8.14,7.84,6.29,7.94,no,8.16,71515.85
nan,6.0,sneha kapoor,sales,11.0,7.58,8.08,8.03,6.87,8.01,no,8.09,84089.83
